00,0000,
01,0001,
02,0002,
03,0003,
04,0004,
05,0005,
06,0006,
07,0007,
08,0008,
09,0009,
0a,000a,
0b,000b,
0c,000c,
0d,000d,
0e,000e,
0f,000f,
10,0010,
11,0011,
12,0012,
13,0013,
14,0014,
15,0015,
16,0016,
17,0017,
18,0018,
19,0019,
1a,001a,
1b,001b,
1c,001c,
1d,001d,
1e,001e,
1f,001f,
20,0020, 
21,0021,!
22,0022,""""
23,0023,#
24,0024,$
25,0025,%
26,0026,&
27,0027,'
28,0028,(
29,0029,)
2a,002a,*
2b,002b,+
2c,002c,","
2d,002d,-
2e,002e,.
2f,002f,/
30,0030,0
31,0031,1
32,0032,2
33,0033,3
34,0034,4
35,0035,5
36,0036,6
37,0037,7
38,0038,8
39,0039,9
3a,003a,:
3b,003b,;
3c,003c,<
3d,003d,=
3e,003e,>
3f,003f,?
40,0040,@
41,0041,A
42,0042,B
43,0043,C
44,0044,D
45,0045,E
46,0046,F
47,0047,G
48,0048,H
49,0049,I
4a,004a,J
4b,004b,K
4c,004c,L
4d,004d,M
4e,004e,N
4f,004f,O
50,0050,P
51,0051,Q
52,0052,R
53,0053,S
54,0054,T
55,0055,U
56,0056,V
57,0057,W
58,0058,X
59,0059,Y
5a,005a,Z
5b,005b,[
5c,005c,\
5d,005d,]
5e,005e,^
5f,005f,_
60,0060,`
61,0061,a
62,0062,b
63,0063,c
64,0064,d
65,0065,e
66,0066,f
67,0067,g
68,0068,h
69,0069,i
6a,006a,j
6b,006b,k
6c,006c,l
6d,006d,m
6e,006e,n
6f,006f,o
70,0070,p
71,0071,q
72,0072,r
73,0073,s
74,0074,t
75,0075,u
76,0076,v
77,0077,w
78,0078,x
79,0079,y
7a,007a,z
7b,007b,{
7c,007c,|
7d,007d,}
7e,007e,~
7f,007f,
a1,ff61,｡
a2,ff62,｢
a3,ff63,｣
a4,ff64,､
a5,ff65,･
a6,ff66,ｦ
a7,ff67,ｧ
a8,ff68,ｨ
a9,ff69,ｩ
aa,ff6a,ｪ
ab,ff6b,ｫ
ac,ff6c,ｬ
ad,ff6d,ｭ
ae,ff6e,ｮ
af,ff6f,ｯ
b0,ff70,ｰ
b1,ff71,ｱ
b2,ff72,ｲ
b3,ff73,ｳ
b4,ff74,ｴ
b5,ff75,ｵ
b6,ff76,ｶ
b7,ff77,ｷ
b8,ff78,ｸ
b9,ff79,ｹ
ba,ff7a,ｺ
bb,ff7b,ｻ
bc,ff7c,ｼ
bd,ff7d,ｽ
be,ff7e,ｾ
bf,ff7f,ｿ
c0,ff80,ﾀ
c1,ff81,ﾁ
c2,ff82,ﾂ
c3,ff83,ﾃ
c4,ff84,ﾄ
c5,ff85,ﾅ
c6,ff86,ﾆ
c7,ff87,ﾇ
c8,ff88,ﾈ
c9,ff89,ﾉ
ca,ff8a,ﾊ
cb,ff8b,ﾋ
cc,ff8c,ﾌ
cd,ff8d,ﾍ
ce,ff8e,ﾎ
cf,ff8f,ﾏ
d0,ff90,ﾐ
d1,ff91,ﾑ
d2,ff92,ﾒ
d3,ff93,ﾓ
d4,ff94,ﾔ
d5,ff95,ﾕ
d6,ff96,ﾖ
d7,ff97,ﾗ
d8,ff98,ﾘ
d9,ff99,ﾙ
da,ff9a,ﾚ
db,ff9b,ﾛ
dc,ff9c,ﾜ
dd,ff9d,ﾝ
de,ff9e,ﾞ
df,ff9f,ﾟ
8140,3000,　
8141,3001,、
8142,3002,。
8143,ff0c,，
8144,ff0e,．
8145,30fb,・
8146,ff1a,：
8147,ff1b,；
8148,ff1f,？
8149,ff01,！
814a,309b,゛
814b,309c,゜
814c,00b4,´
814d,ff40,｀
814e,00a8,¨
814f,ff3e,＾
8150,ffe3,￣
8151,ff3f,＿
8152,30fd,ヽ
8153,30fe,ヾ
8154,309d,ゝ
8155,309e,ゞ
8156,3003,〃
8157,4edd,仝
8158,3005,々
8159,3006,〆
815a,3007,〇
815b,30fc,ー
815c,2014,—
815d,2010,‐
815e,ff0f,／
815f,ff3c,＼
8160,301c,〜
8161,2016,‖
8162,ff5c,｜
8163,2026,…
8164,2025,‥
8165,2018,‘
8166,2019,’
8167,201c,“
8168,201d,”
8169,ff08,（
816a,ff09,）
816b,3014,〔
816c,3015,〕
816d,ff3b,［
816e,ff3d,］
816f,ff5b,｛
8170,ff5d,｝
8171,3008,〈
8172,3009,〉
8173,300a,《
8174,300b,》
8175,300c,「
8176,300d,」
8177,300e,『
8178,300f,』
8179,3010,【
817a,3011,】
817b,ff0b,＋
817c,2212,−
817d,00b1,±
817e,00d7,×
8180,00f7,÷
8181,ff1d,＝
8182,2260,≠
8183,ff1c,＜
8184,ff1e,＞
8185,2266,≦
8186,2267,≧
8187,221e,∞
8188,2234,∴
8189,2642,♂
818a,2640,♀
818b,00b0,°
818c,2032,′
818d,2033,″
818e,2103,℃
818f,ffe5,￥
8190,ff04,＄
8191,ffe0,￠
8192,ffe1,￡
8193,ff05,％
8194,ff03,＃
8195,ff06,＆
8196,ff0a,＊
8197,ff20,＠
8198,00a7,§
8199,2606,☆
819a,2605,★
819b,25cb,○
819c,25cf,●
819d,25ce,◎
819e,25c7,◇
819f,25c6,◆
81a0,25a1,□
81a1,25a0,■
81a2,25b3,△
81a3,25b2,▲
81a4,25bd,▽
81a5,25bc,▼
81a6,203b,※
81a7,3012,〒
81a8,2192,→
81a9,2190,←
81aa,2191,↑
81ab,2193,↓
81ac,3013,〓
81b8,2208,∈
81b9,220b,∋
81ba,2286,⊆
81bb,2287,⊇
81bc,2282,⊂
81bd,2283,⊃
81be,222a,∪
81bf,2229,∩
81c8,2227,∧
81c9,2228,∨
81ca,ffe2,￢
81cb,21d2,⇒
81cc,21d4,⇔
81cd,2200,∀
81ce,2203,∃
81da,2220,∠
81db,22a5,⊥
81dc,2312,⌒
81dd,2202,∂
81de,2207,∇
81df,2261,≡
81e0,2252,≒
81e1,226a,≪
81e2,226b,≫
81e3,221a,√
81e4,223d,∽
81e5,221d,∝
81e6,2235,∵
81e7,222b,∫
81e8,222c,∬
81f0,212b,Å
81f1,2030,‰
81f2,266f,♯
81f3,266d,♭
81f4,266a,♪
81f5,2020,†
81f6,2021,‡
81f7,00b6,¶
81fc,25ef,◯
824f,ff10,０
8250,ff11,１
8251,ff12,２
8252,ff13,３
8253,ff14,４
8254,ff15,５
8255,ff16,６
8256,ff17,７
8257,ff18,８
8258,ff19,９
8260,ff21,Ａ
8261,ff22,Ｂ
8262,ff23,Ｃ
8263,ff24,Ｄ
8264,ff25,Ｅ
8265,ff26,Ｆ
8266,ff27,Ｇ
8267,ff28,Ｈ
8268,ff29,Ｉ
8269,ff2a,Ｊ
826a,ff2b,Ｋ
826b,ff2c,Ｌ
826c,ff2d,Ｍ
826d,ff2e,Ｎ
826e,ff2f,Ｏ
826f,ff30,Ｐ
8270,ff31,Ｑ
8271,ff32,Ｒ
8272,ff33,Ｓ
8273,ff34,Ｔ
8274,ff35,Ｕ
8275,ff36,Ｖ
8276,ff37,Ｗ
8277,ff38,Ｘ
8278,ff39,Ｙ
8279,ff3a,Ｚ
8281,ff41,ａ
8282,ff42,ｂ
8283,ff43,ｃ
8284,ff44,ｄ
8285,ff45,ｅ
8286,ff46,ｆ
8287,ff47,ｇ
8288,ff48,ｈ
8289,ff49,ｉ
828a,ff4a,ｊ
828b,ff4b,ｋ
828c,ff4c,ｌ
828d,ff4d,ｍ
828e,ff4e,ｎ
828f,ff4f,ｏ
8290,ff50,ｐ
8291,ff51,ｑ
8292,ff52,ｒ
8293,ff53,ｓ
8294,ff54,ｔ
8295,ff55,ｕ
8296,ff56,ｖ
8297,ff57,ｗ
8298,ff58,ｘ
8299,ff59,ｙ
829a,ff5a,ｚ
829f,3041,ぁ
82a0,3042,あ
82a1,3043,ぃ
82a2,3044,い
82a3,3045,ぅ
82a4,3046,う
82a5,3047,ぇ
82a6,3048,え
82a7,3049,ぉ
82a8,304a,お
82a9,304b,か
82aa,304c,が
82ab,304d,き
82ac,304e,ぎ
82ad,304f,く
82ae,3050,ぐ
82af,3051,け
82b0,3052,げ
82b1,3053,こ
82b2,3054,ご
82b3,3055,さ
82b4,3056,ざ
82b5,3057,し
82b6,3058,じ
82b7,3059,す
82b8,305a,ず
82b9,305b,せ
82ba,305c,ぜ
82bb,305d,そ
82bc,305e,ぞ
82bd,305f,た
82be,3060,だ
82bf,3061,ち
82c0,3062,ぢ
82c1,3063,っ
82c2,3064,つ
82c3,3065,づ
82c4,3066,て
82c5,3067,で
82c6,3068,と
82c7,3069,ど
82c8,306a,な
82c9,306b,に
82ca,306c,ぬ
82cb,306d,ね
82cc,306e,の
82cd,306f,は
82ce,3070,ば
82cf,3071,ぱ
82d0,3072,ひ
82d1,3073,び
82d2,3074,ぴ
82d3,3075,ふ
82d4,3076,ぶ
82d5,3077,ぷ
82d6,3078,へ
82d7,3079,べ
82d8,307a,ぺ
82d9,307b,ほ
82da,307c,ぼ
82db,307d,ぽ
82dc,307e,ま
82dd,307f,み
82de,3080,む
82df,3081,め
82e0,3082,も
82e1,3083,ゃ
82e2,3084,や
82e3,3085,ゅ
82e4,3086,ゆ
82e5,3087,ょ
82e6,3088,よ
82e7,3089,ら
82e8,308a,り
82e9,308b,る
82ea,308c,れ
82eb,308d,ろ
82ec,308e,ゎ
82ed,308f,わ
82ee,3090,ゐ
82ef,3091,ゑ
82f0,3092,を
82f1,3093,ん
8340,30a1,ァ
8341,30a2,ア
8342,30a3,ィ
8343,30a4,イ
8344,30a5,ゥ
8345,30a6,ウ
8346,30a7,ェ
8347,30a8,エ
8348,30a9,ォ
8349,30aa,オ
834a,30ab,カ
834b,30ac,ガ
834c,30ad,キ
834d,30ae,ギ
834e,30af,ク
834f,30b0,グ
8350,30b1,ケ
8351,30b2,ゲ
8352,30b3,コ
8353,30b4,ゴ
8354,30b5,サ
8355,30b6,ザ
8356,30b7,シ
8357,30b8,ジ
8358,30b9,ス
8359,30ba,ズ
835a,30bb,セ
835b,30bc,ゼ
835c,30bd,ソ
835d,30be,ゾ
835e,30bf,タ
835f,30c0,ダ
8360,30c1,チ
8361,30c2,ヂ
8362,30c3,ッ
8363,30c4,ツ
8364,30c5,ヅ
8365,30c6,テ
8366,30c7,デ
8367,30c8,ト
8368,30c9,ド
8369,30ca,ナ
836a,30cb,ニ
836b,30cc,ヌ
836c,30cd,ネ
836d,30ce,ノ
836e,30cf,ハ
836f,30d0,バ
8370,30d1,パ
8371,30d2,ヒ
8372,30d3,ビ
8373,30d4,ピ
8374,30d5,フ
8375,30d6,ブ
8376,30d7,プ
8377,30d8,ヘ
8378,30d9,ベ
8379,30da,ペ
837a,30db,ホ
837b,30dc,ボ
837c,30dd,ポ
837d,30de,マ
837e,30df,ミ
8380,30e0,ム
8381,30e1,メ
8382,30e2,モ
8383,30e3,ャ
8384,30e4,ヤ
8385,30e5,ュ
8386,30e6,ユ
8387,30e7,ョ
8388,30e8,ヨ
8389,30e9,ラ
838a,30ea,リ
838b,30eb,ル
838c,30ec,レ
838d,30ed,ロ
838e,30ee,ヮ
838f,30ef,ワ
8390,30f0,ヰ
8391,30f1,ヱ
8392,30f2,ヲ
8393,30f3,ン
8394,30f4,ヴ
8395,30f5,ヵ
8396,30f6,ヶ
839f,0391,Α
83a0,0392,Β
83a1,0393,Γ
83a2,0394,Δ
83a3,0395,Ε
83a4,0396,Ζ
83a5,0397,Η
83a6,0398,Θ
83a7,0399,Ι
83a8,039a,Κ
83a9,039b,Λ
83aa,039c,Μ
83ab,039d,Ν
83ac,039e,Ξ
83ad,039f,Ο
83ae,03a0,Π
83af,03a1,Ρ
83b0,03a3,Σ
83b1,03a4,Τ
83b2,03a5,Υ
83b3,03a6,Φ
83b4,03a7,Χ
83b5,03a8,Ψ
83b6,03a9,Ω
83bf,03b1,α
83c0,03b2,β
83c1,03b3,γ
83c2,03b4,δ
83c3,03b5,ε
83c4,03b6,ζ
83c5,03b7,η
83c6,03b8,θ
83c7,03b9,ι
83c8,03ba,κ
83c9,03bb,λ
83ca,03bc,μ
83cb,03bd,ν
83cc,03be,ξ
83cd,03bf,ο
83ce,03c0,π
83cf,03c1,ρ
83d0,03c3,σ
83d1,03c4,τ
83d2,03c5,υ
83d3,03c6,φ
83d4,03c7,χ
83d5,03c8,ψ
83d6,03c9,ω
8440,0410,А
8441,0411,Б
8442,0412,В
8443,0413,Г
8444,0414,Д
8445,0415,Е
8446,0401,Ё
8447,0416,Ж
8448,0417,З
8449,0418,И
844a,0419,Й
844b,041a,К
844c,041b,Л
844d,041c,М
844e,041d,Н
844f,041e,О
8450,041f,П
8451,0420,Р
8452,0421,С
8453,0422,Т
8454,0423,У
8455,0424,Ф
8456,0425,Х
8457,0426,Ц
8458,0427,Ч
8459,0428,Ш
845a,0429,Щ
845b,042a,Ъ
845c,042b,Ы
845d,042c,Ь
845e,042d,Э
845f,042e,Ю
8460,042f,Я
8470,0430,а
8471,0431,б
8472,0432,в
8473,0433,г
8474,0434,д
8475,0435,е
8476,0451,ё
8477,0436,ж
8478,0437,з
8479,0438,и
847a,0439,й
847b,043a,к
847c,043b,л
847d,043c,м
847e,043d,н
8480,043e,о
8481,043f,п
8482,0440,р
8483,0441,с
8484,0442,т
8485,0443,у
8486,0444,ф
8487,0445,х
8488,0446,ц
8489,0447,ч
848a,0448,ш
848b,0449,щ
848c,044a,ъ
848d,044b,ы
848e,044c,ь
848f,044d,э
8490,044e,ю
8491,044f,я
849f,2500,─
84a0,2502,│
84a1,250c,┌
84a2,2510,┐
84a3,2518,┘
84a4,2514,└
84a5,251c,├
84a6,252c,┬
84a7,2524,┤
84a8,2534,┴
84a9,253c,┼
84aa,2501,━
84ab,2503,┃
84ac,250f,┏
84ad,2513,┓
84ae,251b,┛
84af,2517,┗
84b0,2523,┣
84b1,2533,┳
84b2,252b,┫
84b3,253b,┻
84b4,254b,╋
84b5,2520,┠
84b6,252f,┯
84b7,2528,┨
84b8,2537,┷
84b9,253f,┿
84ba,251d,┝
84bb,2530,┰
84bc,2525,┥
84bd,2538,┸
84be,2542,╂
8740,2460,①
8741,2461,②
8742,2462,③
8743,2463,④
8744,2464,⑤
8745,2465,⑥
8746,2466,⑦
8747,2467,⑧
8748,2468,⑨
8749,2469,⑩
874a,246a,⑪
874b,246b,⑫
874c,246c,⑬
874d,246d,⑭
874e,246e,⑮
874f,246f,⑯
8750,2470,⑰
8751,2471,⑱
8752,2472,⑲
8753,2473,⑳
8754,2160,Ⅰ
8755,2161,Ⅱ
8756,2162,Ⅲ
8757,2163,Ⅳ
8758,2164,Ⅴ
8759,2165,Ⅵ
875a,2166,Ⅶ
875b,2167,Ⅷ
875c,2168,Ⅸ
875d,2169,Ⅹ
875f,3349,㍉
8760,3314,㌔
8761,3322,㌢
8762,334d,㍍
8763,3318,㌘
8764,3327,㌧
8765,3303,㌃
8766,3336,㌶
8767,3351,㍑
8768,3357,㍗
8769,330d,㌍
876a,3326,㌦
876b,3323,㌣
876c,332b,㌫
876d,334a,㍊
876e,333b,㌻
876f,339c,㎜
8770,339d,㎝
8771,339e,㎞
8772,338e,㎎
8773,338f,㎏
8774,33c4,㏄
8775,33a1,㎡
877e,337b,㍻
8780,301d,〝
8781,301f,〟
8782,2116,№
8783,33cd,㏍
8784,2121,℡
8785,32a4,㊤
8786,32a5,㊥
8787,32a6,㊦
8788,32a7,㊧
8789,32a8,㊨
878a,3231,㈱
878b,3232,㈲
878c,3239,㈹
878d,337e,㍾
878e,337d,㍽
878f,337c,㍼
8790,2252,≒
8791,2261,≡
8792,222b,∫
8793,222e,∮
8794,2211,∑
8795,221a,√
8796,22a5,⊥
8797,2220,∠
8798,221f,∟
8799,22bf,⊿
879a,2235,∵
879b,2229,∩
879c,222a,∪
889f,4e9c,亜
88a0,5516,唖
88a1,5a03,娃
88a2,963f,阿
88a3,54c0,哀
88a4,611b,愛
88a5,6328,挨
88a6,59f6,姶
88a7,9022,逢
88a8,8475,葵
88a9,831c,茜
88aa,7a50,穐
88ab,60aa,悪
88ac,63e1,握
88ad,6e25,渥
88ae,65ed,旭
88af,8466,葦
88b0,82a6,芦
88b1,9bf5,鯵
88b2,6893,梓
88b3,5727,圧
88b4,65a1,斡
88b5,6271,扱
88b6,5b9b,宛
88b7,59d0,姐
88b8,867b,虻
88b9,98f4,飴
88ba,7d62,絢
88bb,7dbe,綾
88bc,9b8e,鮎
88bd,6216,或
88be,7c9f,粟
88bf,88b7,袷
88c0,5b89,安
88c1,5eb5,庵
88c2,6309,按
88c3,6697,暗
88c4,6848,案
88c5,95c7,闇
88c6,978d,鞍
88c7,674f,杏
88c8,4ee5,以
88c9,4f0a,伊
88ca,4f4d,位
88cb,4f9d,依
88cc,5049,偉
88cd,56f2,囲
88ce,5937,夷
88cf,59d4,委
88d0,5a01,威
88d1,5c09,尉
88d2,60df,惟
88d3,610f,意
88d4,6170,慰
88d5,6613,易
88d6,6905,椅
88d7,70ba,為
88d8,754f,畏
88d9,7570,異
88da,79fb,移
88db,7dad,維
88dc,7def,緯
88dd,80c3,胃
88de,840e,萎
88df,8863,衣
88e0,8b02,謂
88e1,9055,違
88e2,907a,遺
88e3,533b,医
88e4,4e95,井
88e5,4ea5,亥
88e6,57df,域
88e7,80b2,育
88e8,90c1,郁
88e9,78ef,磯
88ea,4e00,一
88eb,58f1,壱
88ec,6ea2,溢
88ed,9038,逸
88ee,7a32,稲
88ef,8328,茨
88f0,828b,芋
88f1,9c2f,鰯
88f2,5141,允
88f3,5370,印
88f4,54bd,咽
88f5,54e1,員
88f6,56e0,因
88f7,59fb,姻
88f8,5f15,引
88f9,98f2,飲
88fa,6deb,淫
88fb,80e4,胤
88fc,852d,蔭
8940,9662,院
8941,9670,陰
8942,96a0,隠
8943,97fb,韻
8944,540b,吋
8945,53f3,右
8946,5b87,宇
8947,70cf,烏
8948,7fbd,羽
8949,8fc2,迂
894a,96e8,雨
894b,536f,卯
894c,9d5c,鵜
894d,7aba,窺
894e,4e11,丑
894f,7893,碓
8950,81fc,臼
8951,6e26,渦
8952,5618,嘘
8953,5504,唄
8954,6b1d,欝
8955,851a,蔚
8956,9c3b,鰻
8957,59e5,姥
8958,53a9,厩
8959,6d66,浦
895a,74dc,瓜
895b,958f,閏
895c,5642,噂
895d,4e91,云
895e,904b,運
895f,96f2,雲
8960,834f,荏
8961,990c,餌
8962,53e1,叡
8963,55b6,営
8964,5b30,嬰
8965,5f71,影
8966,6620,映
8967,66f3,曳
8968,6804,栄
8969,6c38,永
896a,6cf3,泳
896b,6d29,洩
896c,745b,瑛
896d,76c8,盈
896e,7a4e,穎
896f,9834,頴
8970,82f1,英
8971,885b,衛
8972,8a60,詠
8973,92ed,鋭
8974,6db2,液
8975,75ab,疫
8976,76ca,益
8977,99c5,駅
8978,60a6,悦
8979,8b01,謁
897a,8d8a,越
897b,95b2,閲
897c,698e,榎
897d,53ad,厭
897e,5186,円
8980,5712,園
8981,5830,堰
8982,5944,奄
8983,5bb4,宴
8984,5ef6,延
8985,6028,怨
8986,63a9,掩
8987,63f4,援
8988,6cbf,沿
8989,6f14,演
898a,708e,炎
898b,7114,焔
898c,7159,煙
898d,71d5,燕
898e,733f,猿
898f,7e01,縁
8990,8276,艶
8991,82d1,苑
8992,8597,薗
8993,9060,遠
8994,925b,鉛
8995,9d1b,鴛
8996,5869,塩
8997,65bc,於
8998,6c5a,汚
8999,7525,甥
899a,51f9,凹
899b,592e,央
899c,5965,奥
899d,5f80,往
899e,5fdc,応
899f,62bc,押
89a0,65fa,旺
89a1,6a2a,横
89a2,6b27,欧
89a3,6bb4,殴
89a4,738b,王
89a5,7fc1,翁
89a6,8956,襖
89a7,9d2c,鴬
89a8,9d0e,鴎
89a9,9ec4,黄
89aa,5ca1,岡
89ab,6c96,沖
89ac,837b,荻
89ad,5104,億
89ae,5c4b,屋
89af,61b6,憶
89b0,81c6,臆
89b1,6876,桶
89b2,7261,牡
89b3,4e59,乙
89b4,4ffa,俺
89b5,5378,卸
89b6,6069,恩
89b7,6e29,温
89b8,7a4f,穏
89b9,97f3,音
89ba,4e0b,下
89bb,5316,化
89bc,4eee,仮
89bd,4f55,何
89be,4f3d,伽
89bf,4fa1,価
89c0,4f73,佳
89c1,52a0,加
89c2,53ef,可
89c3,5609,嘉
89c4,590f,夏
89c5,5ac1,嫁
89c6,5bb6,家
89c7,5be1,寡
89c8,79d1,科
89c9,6687,暇
89ca,679c,果
89cb,67b6,架
89cc,6b4c,歌
89cd,6cb3,河
89ce,706b,火
89cf,73c2,珂
89d0,798d,禍
89d1,79be,禾
89d2,7a3c,稼
89d3,7b87,箇
89d4,82b1,花
89d5,82db,苛
89d6,8304,茄
89d7,8377,荷
89d8,83ef,華
89d9,83d3,菓
89da,8766,蝦
89db,8ab2,課
89dc,5629,嘩
89dd,8ca8,貨
89de,8fe6,迦
89df,904e,過
89e0,971e,霞
89e1,868a,蚊
89e2,4fc4,俄
89e3,5ce8,峨
89e4,6211,我
89e5,7259,牙
89e6,753b,画
89e7,81e5,臥
89e8,82bd,芽
89e9,86fe,蛾
89ea,8cc0,賀
89eb,96c5,雅
89ec,9913,餓
89ed,99d5,駕
89ee,4ecb,介
89ef,4f1a,会
89f0,89e3,解
89f1,56de,回
89f2,584a,塊
89f3,58ca,壊
89f4,5efb,廻
89f5,5feb,快
89f6,602a,怪
89f7,6094,悔
89f8,6062,恢
89f9,61d0,懐
89fa,6212,戒
89fb,62d0,拐
89fc,6539,改
8a40,9b41,魁
8a41,6666,晦
8a42,68b0,械
8a43,6d77,海
8a44,7070,灰
8a45,754c,界
8a46,7686,皆
8a47,7d75,絵
8a48,82a5,芥
8a49,87f9,蟹
8a4a,958b,開
8a4b,968e,階
8a4c,8c9d,貝
8a4d,51f1,凱
8a4e,52be,劾
8a4f,5916,外
8a50,54b3,咳
8a51,5bb3,害
8a52,5d16,崖
8a53,6168,慨
8a54,6982,概
8a55,6daf,涯
8a56,788d,碍
8a57,84cb,蓋
8a58,8857,街
8a59,8a72,該
8a5a,93a7,鎧
8a5b,9ab8,骸
8a5c,6d6c,浬
8a5d,99a8,馨
8a5e,86d9,蛙
8a5f,57a3,垣
8a60,67ff,柿
8a61,86ce,蛎
8a62,920e,鈎
8a63,5283,劃
8a64,5687,嚇
8a65,5404,各
8a66,5ed3,廓
8a67,62e1,拡
8a68,64b9,撹
8a69,683c,格
8a6a,6838,核
8a6b,6bbb,殻
8a6c,7372,獲
8a6d,78ba,確
8a6e,7a6b,穫
8a6f,899a,覚
8a70,89d2,角
8a71,8d6b,赫
8a72,8f03,較
8a73,90ed,郭
8a74,95a3,閣
8a75,9694,隔
8a76,9769,革
8a77,5b66,学
8a78,5cb3,岳
8a79,697d,楽
8a7a,984d,額
8a7b,984e,顎
8a7c,639b,掛
8a7d,7b20,笠
8a7e,6a2b,樫
8a80,6a7f,橿
8a81,68b6,梶
8a82,9c0d,鰍
8a83,6f5f,潟
8a84,5272,割
8a85,559d,喝
8a86,6070,恰
8a87,62ec,括
8a88,6d3b,活
8a89,6e07,渇
8a8a,6ed1,滑
8a8b,845b,葛
8a8c,8910,褐
8a8d,8f44,轄
8a8e,4e14,且
8a8f,9c39,鰹
8a90,53f6,叶
8a91,691b,椛
8a92,6a3a,樺
8a93,9784,鞄
8a94,682a,株
8a95,515c,兜
8a96,7ac3,竃
8a97,84b2,蒲
8a98,91dc,釜
8a99,938c,鎌
8a9a,565b,噛
8a9b,9d28,鴨
8a9c,6822,栢
8a9d,8305,茅
8a9e,8431,萱
8a9f,7ca5,粥
8aa0,5208,刈
8aa1,82c5,苅
8aa2,74e6,瓦
8aa3,4e7e,乾
8aa4,4f83,侃
8aa5,51a0,冠
8aa6,5bd2,寒
8aa7,520a,刊
8aa8,52d8,勘
8aa9,52e7,勧
8aaa,5dfb,巻
8aab,559a,喚
8aac,582a,堪
