00,0000,NULL
01,0001,SOH
02,0002,STX
03,0003,ETX
04,009c,VCS
05,0009,PT|HT
06,0086,(Undefined)
07,007f,DEL
08,0097,(Undefined)
09,008d,(Undefined)
0a,008e,(Undefined)
0b,000b,VT
0c,000c,FF
0d,000d,CR
0e,0088,SA
0f,0089,SFE
10,0010,DLE
11,0011,SBA
12,0012,EUA
13,0013,IC
14,009d,EMP
15,000a,NL
16,0008,BS
17,0087,(Undefined)
18,0018,(Undefined)
19,0019,EM
1a,0092,(Undefined)
1b,008f,SFE/F
1c,001c,DUP
1d,001d,SF
1e,001e,FM|IRS
1f,001f,ITB
20,0080,(Undefined)
21,0081,(Undefined)
22,0082,FS
23,0083,(Undefined)
24,0084,INP
25,0085,LF
26,0017,ETB
27,001b,ESC
2a,008a,(Undefined)
2b,008b,FMT
2c,008c,MF
2d,0005,ENQ
2e,0006,(Undefined)
2f,0007,BEL
30,0090,(Undefined)
31,0091,(Undefined)
32,0016,SYN
33,0093,(Undefined)
34,0094,(Undefined)
35,0095,TRN
36,0096,(Undefined)
37,0004,EOT
39,0099,LDEL
3a,009a,LINS
3b,009b,(Undefined)
3c,0014,RA
3d,0015,NAK
3e,009e,(Undefined)
3f,001a,SUB
40,0020,SP
41,ff61,｡
42,ff62,｢
43,ff63,｣
44,ff64,､
45,ff65,･
46,ff66,ｦ
47,ff67,ｧ
48,ff68,ｨ
49,ff69,ｩ
4a,00a3,£
4b,002e,.
4c,003c,<
4d,0028,(
4e,002b,+
4f,007c,|
50,0026,&
51,ff6a,ｪ
52,ff6b,ｫ
53,ff6c,ｬ
54,ff6d,ｭ
55,ff6e,ｮ
56,ff6f,ｯ
58,ff70,ｰ
5a,0021,!
5b,005c,\
5c,002a,*
5d,0029,)
5e,003b,;
5f,00ac,¬
60,002d,-
61,002f,/
6a,00a6,¦
6b,002c,","
6c,0025,%
6d,005f,_
6e,003e,>
6f,003f,?
79,0060,`
7a,003a,:
7b,0023,#
7c,0040,@
7d,0027,'
7e,003d,=
7f,0022,""""
81,ff71,ｱ
82,ff72,ｲ
83,ff73,ｳ
84,ff74,ｴ
85,ff75,ｵ
86,ff76,ｶ
87,ff77,ｷ
88,ff78,ｸ
89,ff79,ｹ
8a,ff7a,ｺ
8c,ff7b,ｻ
8d,ff7c,ｼ
8e,ff7d,ｽ
8f,ff7e,ｾ
90,ff7f,ｿ
91,ff80,ﾀ
92,ff81,ﾁ
93,ff82,ﾂ
94,ff83,ﾃ
95,ff84,ﾄ
96,ff85,ﾅ
97,ff86,ﾆ
98,ff87,ﾇ
99,ff88,ﾈ
9a,ff89,ﾉ
9d,ff8a,ﾊ
9e,ff8b,ﾋ
9f,ff8c,ﾌ
a1,007e,~
a2,ff8d,ﾍ
a3,ff8e,ﾎ
a4,ff8f,ﾏ
a5,ff90,ﾐ
a6,ff91,ﾑ
a7,ff92,ﾒ
a8,ff93,ﾓ
a9,ff94,ﾔ
aa,ff95,ﾕ
ac,ff96,ﾖ
ad,ff97,ﾗ
ae,ff98,ﾘ
af,ff99,ﾙ
ba,ff9a,ﾚ
bb,ff9b,ﾛ
bc,ff9c,ﾜ
bd,ff9d,ﾝ
be,ff9e,ﾞ
bf,ff9f,ﾟ
c0,007b,{
c1,0041,A
c2,0042,B
c3,0043,C
c4,0044,D
c5,0045,E
c6,0046,F
c7,0047,G
c8,0048,H
c9,0049,I
d0,007d,}
d1,004a,J
d2,004b,K
d3,004c,L
d4,004d,M
d5,004e,N
d6,004f,O
d7,0050,P
d8,0051,Q
d9,0052,R
e0,0024,$
e2,0053,S
e3,0054,T
e4,0055,U
e5,0056,V
e6,0057,W
e7,0058,X
e8,0059,Y
e9,005a,Z
f0,0030,0
f1,0031,1
f2,0032,2
f3,0033,3
f4,0034,4
f5,0035,5
f6,0036,6
f7,0037,7
f8,0038,8
f9,0039,9
ff,009f,EO
