0000,00,
0001,01,
0002,02,
0003,03,
0004,37,
0005,2d,
0006,2e,
0007,2f,
0008,16,
0009,05,
000a,15,
000b,0b,
000c,0c,
000d,0d,
0010,10,
0011,11,
0012,12,
0013,13,
0014,3c,
0015,3d,
0016,32,
0017,26,
0018,18,
0019,19,
001a,3f,
001b,27,
001c,1c,
001d,1d,
001e,1e,
001f,1f,
0020,40,
0021,5a,!
0022,7f,""""
0023,7b,#
0024,e0,$
0025,6c,%
0026,50,&
0027,7d,'
0028,4d,(
0029,5d,)
002a,5c,*
002b,4e,+
002c,6b,","
002d,60,-
002e,4b,.
002f,61,/
0030,f0,0
0031,f1,1
0032,f2,2
0033,f3,3
0034,f4,4
0035,f5,5
0036,f6,6
0037,f7,7
0038,f8,8
0039,f9,9
003a,7a,:
003b,5e,;
003c,4c,<
003d,7e,=
003e,6e,>
003f,6f,?
0040,7c,@
0041,c1,A
0042,c2,B
0043,c3,C
0044,c4,D
0045,c5,E
0046,c6,F
0047,c7,G
0048,c8,H
0049,c9,I
004a,d1,J
004b,d2,K
004c,d3,L
004d,d4,M
004e,d5,N
004f,d6,O
0050,d7,P
0051,d8,Q
0052,d9,R
0053,e2,S
0054,e3,T
0055,e4,U
0056,e5,V
0057,e6,W
0058,e7,X
0059,e8,Y
005a,e9,Z
005b,70,[
005c,b2,\
005d,80,]
005e,b0,^
005f,6d,_
0060,79,`
0061,62,a
0062,63,b
0063,64,c
0064,65,d
0065,66,e
0066,67,f
0067,68,g
0068,69,h
0069,71,i
006a,72,j
006b,73,k
006c,74,l
006d,75,m
006e,76,n
006f,77,o
0070,78,p
0071,8b,q
0072,9b,r
0073,ab,s
0074,b3,t
0075,b4,u
0076,b5,v
0077,b6,w
0078,b7,x
0079,b8,y
007a,b9,z
007b,c0,{
007c,4f,|
007d,d0,}
007e,a0,~
007f,07,
0080,20,
0081,21,
0082,22,
0083,23,
0084,24,
0085,15,
0086,06,
0087,17,
0088,28,
0089,29,
008a,2a,
008b,2b,
008c,2c,
008d,09,
008e,0a,
008f,1b,
0090,30,
0091,31,
0092,1a,
0093,33,
0094,34,
0095,35,
0096,36,
0097,08,
0098,38,
0099,39,
009a,3a,
009b,3b,
009c,04,
009d,14,
009e,3e,
009f,ff,
00a2,b1,¢
00a3,4a,£
00a5,5b,¥
00ac,5f,¬
203e,a1,‾
ff61,41,｡
ff62,42,｢
ff63,43,｣
ff64,44,､
ff65,45,･
ff66,46,ｦ
ff67,47,ｧ
ff68,48,ｨ
ff69,49,ｩ
ff6a,51,ｪ
ff6b,52,ｫ
ff6c,53,ｬ
ff6d,54,ｭ
ff6e,55,ｮ
ff6f,56,ｯ
ff70,58,ｰ
ff71,81,ｱ
ff72,82,ｲ
ff73,83,ｳ
ff74,84,ｴ
ff75,85,ｵ
ff76,86,ｶ
ff77,87,ｷ
ff78,88,ｸ
ff79,89,ｹ
ff7a,8a,ｺ
ff7b,8c,ｻ
ff7c,8d,ｼ
ff7d,8e,ｽ
ff7e,8f,ｾ
ff7f,90,ｿ
ff80,91,ﾀ
ff81,92,ﾁ
ff82,93,ﾂ
ff83,94,ﾃ
ff84,95,ﾄ
ff85,96,ﾅ
ff86,97,ﾆ
ff87,98,ﾇ
ff88,99,ﾈ
ff89,9a,ﾉ
ff8a,9d,ﾊ
ff8b,9e,ﾋ
ff8c,9f,ﾌ
ff8d,a2,ﾍ
ff8e,a3,ﾎ
ff8f,a4,ﾏ
ff90,a5,ﾐ
ff91,a6,ﾑ
ff92,a7,ﾒ
ff93,a8,ﾓ
ff94,a9,ﾔ
ff95,aa,ﾕ
ff96,ac,ﾖ
ff97,ad,ﾗ
ff98,ae,ﾘ
ff99,af,ﾙ
ff9a,ba,ﾚ
ff9b,bb,ﾛ
ff9c,bc,ﾜ
ff9d,bd,ﾝ
ff9e,be,ﾞ
ff9f,bf,ﾟ
