00a1,79df,¡
00a4,79e0,¤
00a7,a1f8,§
00a8,a1af,¨
00a9,76fb,©
00aa,79e1,ª
00ae,76fe,®
00af,79e8,¯
00b0,a1eb,°
00b1,a1de,±
00b4,a1ad,´
00b6,7fef,¶
00ba,79e2,º
00bc,76fd,¼
00bd,76fc,½
00bf,79de,¿
00c0,79b6,À
00c1,79ac,Á
00c2,79c0,Â
00c3,79cc,Ã
00c4,79a2,Ä
00c5,79d3,Å
00c6,79d7,Æ
00c7,79d0,Ç
00c8,79b8,È
00c9,79ae,É
00ca,79c2,Ê
00cb,79a4,Ë
00cc,79ba,Ì
00cd,79b0,Í
00ce,79c4,Î
00cf,79a6,Ï
00d1,79ca,Ñ
00d2,79bc,Ò
00d3,79b2,Ó
00d4,79c6,Ô
00d5,79ce,Õ
00d6,79a8,Ö
00d7,a1df,×
00d8,79d5,Ø
00d9,79be,Ù
00da,79b4,Ú
00db,79c8,Û
00dc,79aa,Ü
00df,79d1,ß
00e0,79b5,à
00e1,79ab,á
00e2,79bf,â
00e3,79cb,ã
00e4,79a1,ä
00e5,79d2,å
00e6,79d6,æ
00e7,79cf,ç
00e8,79b7,è
00e9,79ad,é
00ea,79c1,ê
00eb,79a3,ë
00ec,79b9,ì
00ed,79af,í
00ee,79c3,î
00ef,79a5,ï
00f1,79c9,ñ
00f2,79bb,ò
00f3,79b1,ó
00f4,79c5,ô
00f5,79cd,õ
00f6,79a7,ö
00f7,a1e0,÷
00f8,79d4,ø
00f9,79bd,ù
00fa,79b3,ú
00fb,79c7,û
00fc,79a9,ü
0100,79db,Ā
0101,79da,ā
012a,79dd,Ī
012b,79dc,ī
0152,79d9,Œ
0153,79d8,œ
0186,79e4,Ɔ
0192,79e3,ƒ
02da,79e5,˚
0391,a6a1,Α
0392,a6a2,Β
0393,a6a3,Γ
0394,a6a4,Δ
0395,a6a5,Ε
0396,a6a6,Ζ
0397,a6a7,Η
0398,a6a8,Θ
0399,a6a9,Ι
039a,a6aa,Κ
039b,a6ab,Λ
039c,a6ac,Μ
039d,a6ad,Ν
039e,a6ae,Ξ
039f,a6af,Ο
03a0,a6b0,Π
03a1,a6b1,Ρ
03a3,a6b2,Σ
03a4,a6b3,Τ
03a5,a6b4,Υ
03a6,a6b5,Φ
03a7,a6b6,Χ
03a8,a6b7,Ψ
03a9,a6b8,Ω
03b1,a6c1,α
03b2,a6c2,β
03b3,a6c3,γ
03b4,a6c4,δ
03b5,a6c5,ε
03b6,a6c6,ζ
03b7,a6c7,η
03b8,a6c8,θ
03b9,a6c9,ι
03ba,a6ca,κ
03bb,a6cb,λ
03bc,a6cc,μ
03bd,a6cd,ν
03be,a6ce,ξ
03bf,a6cf,ο
03c0,a6d0,π
03c1,a6d1,ρ
03c3,a6d2,σ
03c4,a6d3,τ
03c5,a6d4,υ
03c6,a6d5,φ
03c7,a6d6,χ
03c8,a6d7,ψ
03c9,a6d8,ω
0401,a7a7,Ё
0410,a7a1,А
0411,a7a2,Б
0412,a7a3,В
0413,a7a4,Г
0414,a7a5,Д
0415,a7a6,Е
0416,a7a8,Ж
0417,a7a9,З
0418,a7aa,И
0419,a7ab,Й
041a,a7ac,К
041b,a7ad,Л
041c,a7ae,М
041d,a7af,Н
041e,a7b0,О
041f,a7b1,П
0420,a7b2,Р
0421,a7b3,С
0422,a7b4,Т
0423,a7b5,У
0424,a7b6,Ф
0425,a7b7,Х
0426,a7b8,Ц
0427,a7b9,Ч
0428,a7ba,Ш
0429,a7bb,Щ
042a,a7bc,Ъ
042b,a7bd,Ы
042c,a7be,Ь
042d,a7bf,Э
042e,a7c0,Ю
042f,a7c1,Я
0430,a7d1,а
0431,a7d2,б
0432,a7d3,в
0433,a7d4,г
0434,a7d5,д
0435,a7d6,е
0436,a7d8,ж
0437,a7d9,з
0438,a7da,и
0439,a7db,й
043a,a7dc,к
043b,a7dd,л
043c,a7de,м
043d,a7df,н
043e,a7e0,о
043f,a7e1,п
0440,a7e2,р
0441,a7e3,с
0442,a7e4,т
0443,a7e5,у
0444,a7e6,ф
0445,a7e7,х
0446,a7e8,ц
0447,a7e9,ч
0448,a7ea,ш
0449,a7eb,щ
044a,a7ec,ъ
044b,a7ed,ы
044c,a7ee,ь
044d,a7ef,э
044e,a7f0,ю
044f,a7f1,я
0451,a7d7,ё
2010,a1be,‐
2015,a1bd,―
2018,a1c6,‘
2019,a1c7,’
201c,a1c8,“
201d,a1c9,”
2020,7fed,†
2021,7fee,‡
2025,a1c5,‥
2026,a1c4,…
2030,76d3,‰
2032,a1ec,′
2033,a1ed,″
203b,a2a8,※
20a7,79e6,₧
2103,a1ee,℃
2113,76c8,ℓ
2116,76fa,№
2121,76f6,℡
212b,76d1,Å
2160,77de,Ⅰ
2161,77df,Ⅱ
2162,77e0,Ⅲ
2163,77e1,Ⅳ
2164,77e2,Ⅴ
2165,77e3,Ⅵ
2166,77e4,Ⅶ
2167,77e5,Ⅷ
2168,77e6,Ⅸ
2169,77e7,Ⅹ
2170,77eb,ⅰ
2171,77ec,ⅱ
2172,77ed,ⅲ
2173,77ee,ⅳ
2174,77ef,ⅴ
2175,77f0,ⅵ
2176,77f1,ⅶ
2177,77f2,ⅷ
2178,77f3,ⅸ
2179,77f4,ⅹ
2190,a2ab,←
2191,a2ac,↑
2192,a2aa,→
2193,a2ad,↓
21d2,7fda,⇒
21d4,7fdb,⇔
21e6,76b2,⇦
21e7,76b1,⇧
21e8,76b3,⇨
21e9,76b0,⇩
2200,7fdc,∀
2202,7fe1,∂
2203,7fdd,∃
2207,7fe2,∇
2208,7fd0,∈
220b,7fd1,∋
2211,a6b2,∑
221a,7fe5,√
221d,7fe7,∝
221e,a1e7,∞
221f,adf8,∟
2220,7fde,∠
2225,a1c2,∥
2227,7fd8,∧
2228,7fd9,∨
2229,7fd7,∩
222a,7fd6,∪
222b,7fe8,∫
222c,7fe9,∬
222e,adf3,∮
2234,a1e8,∴
2235,76a8,∵
223d,7fe6,∽
2252,76a9,≒
2260,a1e2,≠
2261,76aa,≡
2266,a1e5,≦
2267,a1e6,≧
226a,7fe3,≪
226b,7fe4,≫
2282,7fd4,⊂
2283,7fd5,⊃
2286,7fd2,⊆
2287,7fd3,⊇
22a5,7fdf,⊥
22bf,adf9,⊿
2311,79e7,⌑
2312,7fe0,⌒
2460,77c9,①
2461,77ca,②
2462,77cb,③
2463,77cc,④
2464,77cd,⑤
2465,77ce,⑥
2466,77cf,⑦
2467,77d0,⑧
2468,77d1,⑨
2469,77d2,⑩
246a,77d3,⑪
246b,77d4,⑫
246c,77d5,⑬
246d,77d6,⑭
246e,77d7,⑮
246f,77d8,⑯
2470,77d9,⑰
2471,77da,⑱
2472,77db,⑲
2473,77dc,⑳
2474,77b4,⑴
2475,77b5,⑵
2476,77b6,⑶
2477,77b7,⑷
2478,77b8,⑸
2479,77b9,⑹
247a,77ba,⑺
247b,77bb,⑻
247c,77bc,⑼
247d,77bd,⑽
247e,77be,⑾
247f,77bf,⑿
2480,77c0,⒀
2481,77c1,⒁
2482,77c2,⒂
2483,77c3,⒃
2484,77c4,⒄
2485,77c5,⒅
2486,77c6,⒆
2487,77c7,⒇
2488,77aa,⒈
2489,77ab,⒉
248a,77ac,⒊
248b,77ad,⒋
248c,77ae,⒌
248d,77af,⒍
248e,77b0,⒎
248f,77b1,⒏
2490,77b2,⒐
249c,78a1,⒜
249d,78a2,⒝
249e,78a3,⒞
249f,78a4,⒟
24a0,78a5,⒠
24a1,78a6,⒡
24a2,78a7,⒢
24a3,78a8,⒣
24a4,78a9,⒤
24a5,78aa,⒥
24a6,78ab,⒦
24a7,78ac,⒧
24a8,78ad,⒨
24a9,78ae,⒩
24aa,78af,⒪
24ab,78b0,⒫
24ac,78b1,⒬
24ad,78b2,⒭
24ae,78b3,⒮
24af,78b4,⒯
24b0,78b5,⒰
24b1,78b6,⒱
24b2,78b7,⒲
24b3,78b8,⒳
24b4,78b9,⒴
24b5,78ba,⒵
2500,7cd1,─
2501,75ba,━
2502,7cd2,│
2503,7cf7,┃
250c,7cc1,┌
250f,7ce6,┏
2510,7cc2,┐
2513,7ce7,┓
2514,7cc4,└
2517,7ce9,┗
2518,7cc3,┘
251b,7ce8,┛
251c,7cc7,├
251d,7fa2,┝
2520,7cca,┠
2521,7ff3,┡
2522,7ff2,┢
2523,7cf3,┣
2524,7cc8,┤
2525,7fa4,┥
2528,7ccc,┨
2529,7ff5,┩
252a,7ff4,┪
252b,7cf4,┫
252c,7cc5,┬
252f,7ccb,┯
2530,7fa3,┰
2531,7ff8,┱
2532,7ff6,┲
2533,7cf1,┳
2534,7cc6,┴
2537,7cc0,┷
2538,7fa1,┸
2539,7ff1,┹
253a,7ff7,┺
253b,7cf2,┻
253c,7cc9,┼
253f,7cce,┿
2542,7ccd,╂
254b,7cf5,╋
254c,75b7,╌
254d,75bb,╍
2574,7fb6,╴
2575,7fb5,╵
2576,7fb8,╶
2577,7fb7,╷
2578,7fc2,╸
2579,7fc1,╹
257a,7fc4,╺
257b,7fc3,╻
2588,75ae,█
2591,75b1,░
2592,75b6,▒
2593,75b5,▓
25a0,a2a3,■
25a1,a2a2,□
25a2,76b4,▢
25ab,7bda,▫
25b2,a2a5,▲
25b3,a2a4,△
25b5,7bc4,▵
25b6,7ea8,▶
25b7,76af,▷
25bc,a2a7,▼
25bd,a2a6,▽
25c1,76ae,◁
25c6,a2a1,◆
25c7,a1fe,◇
25cb,a1fb,○
25ce,a1fd,◎
25cf,a1fc,●
25ef,7ff0,◯
2605,a1fa,★
2606,a1f9,☆
260f,76f7,☏
2640,a1ea,♀
2642,a1e9,♂
2661,76b6,♡
2662,76b8,♢
2664,76b7,♤
2667,76b5,♧
266a,7fec,♪
266d,7feb,♭
266f,7fea,♯
26ac,7bca,⚬
26dd,7eec,⛝
2731,7bd1,✱
2b60,7ea6,⭠
2b62,7ea5,⭢
3000,4040,　
3001,a1a2,、
3002,a1a3,。
3003,a1b7,〃
3005,a1b9,々
3006,a1ba,〆
3007,a1bb,〇
3008,a1d2,〈
3009,a1d3,〉
300a,a1d4,《
300b,a1d5,》
300c,a1d6,「
300d,a1d7,」
300e,a1d8,『
300f,a1d9,』
3010,a1da,【
3011,a1db,】
3012,a2a9,〒
3013,a2ae,〓
3014,a1cc,〔
3015,a1cd,〕
3020,76f9,〠
3036,76f8,〶
3041,a4a1,ぁ
3042,a4a2,あ
3043,a4a3,ぃ
3044,a4a4,い
3045,a4a5,ぅ
3046,a4a6,う
3047,a4a7,ぇ
3048,a4a8,え
3049,a4a9,ぉ
304a,a4aa,お
304b,a4ab,か
304c,a4ac,が
304d,a4ad,き
304e,a4ae,ぎ
304f,a4af,く
3050,a4b0,ぐ
3051,a4b1,け
3052,a4b2,げ
3053,a4b3,こ
3054,a4b4,ご
3055,a4b5,さ
3056,a4b6,ざ
3057,a4b7,し
3058,a4b8,じ
3059,a4b9,す
305a,a4ba,ず
305b,a4bb,せ
305c,a4bc,ぜ
305d,a4bd,そ
305e,a4be,ぞ
305f,a4bf,た
3060,a4c0,だ
3061,a4c1,ち
3062,a4c2,ぢ
3063,a4c3,っ
3064,a4c4,つ
3065,a4c5,づ
3066,a4c6,て
3067,a4c7,で
3068,a4c8,と
3069,a4c9,ど
306a,a4ca,な
306b,a4cb,に
306c,a4cc,ぬ
306d,a4cd,ね
306e,a4ce,の
306f,a4cf,は
3070,a4d0,ば
3071,a4d1,ぱ
3072,a4d2,ひ
3073,a4d3,び
3074,a4d4,ぴ
3075,a4d5,ふ
3076,a4d6,ぶ
3077,a4d7,ぷ
3078,a4d8,へ
3079,a4d9,べ
307a,a4da,ぺ
307b,a4db,ほ
307c,a4dc,ぼ
307d,a4dd,ぽ
307e,a4de,ま
307f,a4df,み
3080,a4e0,む
3081,a4e1,め
3082,a4e2,も
3083,a4e3,ゃ
3084,a4e4,や
3085,a4e5,ゅ
3086,a4e6,ゆ
3087,a4e7,ょ
3088,a4e8,よ
3089,a4e9,ら
308a,a4ea,り
308b,a4eb,る
308c,a4ec,れ
308d,a4ed,ろ
308e,a4ee,ゎ
308f,a4ef,わ
3090,a4f0,ゐ
3091,a4f1,ゑ
3092,a4f2,を
3093,a4f3,ん
3099,a1ab,゙
309a,a1ac,゚
309b,a1ab,゛
309c,a1ac,゜
309d,a1b5,ゝ
309e,a1b6,ゞ
30a1,a5a1,ァ
30a2,a5a2,ア
30a3,a5a3,ィ
30a4,a5a4,イ
30a5,a5a5,ゥ
30a6,a5a6,ウ
30a7,a5a7,ェ
30a8,a5a8,エ
30a9,a5a9,ォ
30aa,a5aa,オ
30ab,a5ab,カ
30ac,a5ac,ガ
30ad,a5ad,キ
30ae,a5ae,ギ
30af,a5af,ク
30b0,a5b0,グ
30b1,a5b1,ケ
30b2,a5b2,ゲ
30b3,a5b3,コ
30b4,a5b4,ゴ
30b5,a5b5,サ
