0000,00,
0001,01,
0002,02,
0003,03,
0004,04,
0005,05,
0006,06,
0007,07,
0008,08,
0009,09,
000a,0a,
000b,0b,
000c,0c,
000d,0d,
000e,0e,
000f,0f,
0010,10,
0011,11,
0012,12,
0013,13,
0014,14,
0015,15,
0016,16,
0017,17,
0018,18,
0019,19,
001a,1a,
001b,1b,
001c,1c,
001d,1d,
001e,1e,
001f,1f,
0020,20,
0021,21,!
0022,22,""""
0023,23,#
0024,24,$
0025,25,%
0026,26,&
0027,27,'
0028,28,(
0029,29,)
002a,2a,*
002b,2b,+
002c,2c,","
002d,2d,-
002e,2e,.
002f,2f,/
0030,30,0
0031,31,1
0032,32,2
0033,33,3
0034,34,4
0035,35,5
0036,36,6
0037,37,7
0038,38,8
0039,39,9
003a,3a,:
003b,3b,;
003c,3c,<
003d,3d,=
003e,3e,>
003f,3f,?
0040,40,@
0041,41,A
0042,42,B
0043,43,C
0044,44,D
0045,45,E
0046,46,F
0047,47,G
0048,48,H
0049,49,I
004a,4a,J
004b,4b,K
004c,4c,L
004d,4d,M
004e,4e,N
004f,4f,O
0050,50,P
0051,51,Q
0052,52,R
0053,53,S
0054,54,T
0055,55,U
0056,56,V
0057,57,W
0058,58,X
0059,59,Y
005a,5a,Z
005b,5b,[
005c,5c,\
005d,5d,]
005e,5e,^
005f,5f,_
0060,60,`
0061,61,a
0062,62,b
0063,63,c
0064,64,d
0065,65,e
0066,66,f
0067,67,g
0068,68,h
0069,69,i
006a,6a,j
006b,6b,k
006c,6c,l
006d,6d,m
006e,6e,n
006f,6f,o
0070,70,p
0071,71,q
0072,72,r
0073,73,s
0074,74,t
0075,75,u
0076,76,v
0077,77,w
0078,78,x
0079,79,y
007a,7a,z
007b,7b,{
007c,7c,|
007d,7d,}
007e,7e,~
007f,7f,
00a1,8fa2c2,¡
00a2,a1f1,¢
00a3,a1f2,£
00a4,8fa2f0,¤
00a5,5c,¥
00a6,8fa2c3,¦
00a7,a1f8,§
00a8,a1af,¨
00a9,8fa2ed,©
00aa,8fa2ec,ª
00ac,a2cc,¬
00ae,8fa2ee,®
00af,8fa2b4,¯
00b0,a1eb,°
00b1,a1de,±
00b4,a1ad,´
00b6,a2f9,¶
00b8,8fa2b1,¸
00ba,8fa2eb,º
00bf,8fa2c4,¿
00c0,8faaa2,À
00c1,8faaa1,Á
00c2,8faaa4,Â
00c3,8faaaa,Ã
00c4,8faaa3,Ä
00c5,8faaa9,Å
00c6,8fa9a1,Æ
00c7,8faaae,Ç
00c8,8faab2,È
00c9,8faab1,É
00ca,8faab4,Ê
00cb,8faab3,Ë
00cc,8faac0,Ì
00cd,8faabf,Í
00ce,8faac2,Î
00cf,8faac1,Ï
00d1,8faad0,Ñ
00d2,8faad2,Ò
00d3,8faad1,Ó
00d4,8faad4,Ô
00d5,8faad8,Õ
00d6,8faad3,Ö
00d7,a1df,×
00d8,8fa9ac,Ø
00d9,8faae3,Ù
00da,8faae2,Ú
00db,8faae5,Û
00dc,8faae4,Ü
00dd,8faaf2,Ý
00de,8fa9b0,Þ
00df,8fa9ce,ß
00e0,8faba2,à
00e1,8faba1,á
00e2,8faba4,â
00e3,8fabaa,ã
00e4,8faba3,ä
00e5,8faba9,å
00e6,8fa9c1,æ
00e7,8fabae,ç
00e8,8fabb2,è
00e9,8fabb1,é
00ea,8fabb4,ê
00eb,8fabb3,ë
00ec,8fabc0,ì
00ed,8fabbf,í
00ee,8fabc2,î
00ef,8fabc1,ï
00f0,8fa9c3,ð
00f1,8fabd0,ñ
00f2,8fabd2,ò
00f3,8fabd1,ó
00f4,8fabd4,ô
00f5,8fabd8,õ
00f6,8fabd3,ö
