Fullwidth,Halfwidth
1100,ffa1,ᄀ,ﾡ
1101,ffa2,ᄁ,ﾢ
1102,ffa4,ᄂ,ﾤ
1103,ffa7,ᄃ,ﾧ
1104,ffa8,ᄄ,ﾨ
1105,ffa9,ᄅ,ﾩ
1106,ffb1,ᄆ,ﾱ
1107,ffb2,ᄇ,ﾲ
1108,ffb3,ᄈ,ﾳ
1109,ffb5,ᄉ,ﾵ
110a,ffb6,ᄊ,ﾶ
110b,ffb7,ᄋ,ﾷ
110c,ffb8,ᄌ,ﾸ
110d,ffb9,ᄍ,ﾹ
110e,ffba,ᄎ,ﾺ
110f,ffbb,ᄏ,ﾻ
1110,ffbc,ᄐ,ﾼ
1111,ffbd,ᄑ,ﾽ
1112,ffbe,ᄒ,ﾾ
111a,ffb0,ᄚ,ﾰ
1121,ffb4,ᄡ,ﾴ
1160,ffa0,ᅠ,ﾠ
1161,ffc2,ᅡ,ￂ
1162,ffc3,ᅢ,ￃ
1163,ffc4,ᅣ,ￄ
1164,ffc5,ᅤ,ￅ
1165,ffc6,ᅥ,ￆ
1166,ffc7,ᅦ,ￇ
1167,ffca,ᅧ,ￊ
1168,ffcb,ᅨ,ￋ
1169,ffcc,ᅩ,ￌ
116a,ffcd,ᅪ,ￍ
116b,ffce,ᅫ,ￎ
116c,ffcf,ᅬ,ￏ
116d,ffd2,ᅭ,ￒ
116e,ffd3,ᅮ,ￓ
116f,ffd4,ᅯ,ￔ
1170,ffd5,ᅰ,ￕ
1171,ffd6,ᅱ,ￖ
1172,ffd7,ᅲ,ￗ
1173,ffda,ᅳ,ￚ
1174,ffdb,ᅴ,ￛ
1175,ffdc,ᅵ,ￜ
11aa,ffa3,ᆪ,ﾣ
11ac,ffa5,ᆬ,ﾥ
11ad,ffa6,ᆭ,ﾦ
11b0,ffaa,ᆰ,ﾪ
11b1,ffab,ᆱ,ﾫ
11b2,ffac,ᆲ,ﾬ
11b3,ffad,ᆳ,ﾭ
11b4,ffae,ᆴ,ﾮ
11b5,ffaf,ᆵ,ﾯ
2190,ffe9,←,￩
2191,ffea,↑,￪
2192,ffeb,→,￫
2193,ffec,↓,￬
2502,ffe8,│,￨
25a0,ffed,■,￭
25cb,ffee,○,￮
3000,20,　,
3001,ff64,、,､
3002,ff61,。,｡
300c,ff62,「,｢
300d,ff63,」,｣
3041,ff67,ぁ,ｧ
3042,ff71,あ,ｱ
3043,ff68,ぃ,ｨ
3044,ff72,い,ｲ
3045,ff69,ぅ,ｩ
3046,ff73,う,ｳ
3047,ff6a,ぇ,ｪ
3048,ff74,え,ｴ
3049,ff6b,ぉ,ｫ
304a,ff75,お,ｵ
304b,ff76,か,ｶ
304c,ff76ff9e,が,ｶﾞ
304d,ff77,き,ｷ
304e,ff77ff9e,ぎ,ｷﾞ
304f,ff78,く,ｸ
3050,ff78ff9e,ぐ,ｸﾞ
3051,ff79,け,ｹ
3052,ff79ff9e,げ,ｹﾞ
3053,ff7a,こ,ｺ
3054,ff7aff9e,ご,ｺﾞ
3055,ff7b,さ,ｻ
3056,ff7bff9e,ざ,ｻﾞ
3057,ff7c,し,ｼ
