Combinated,Normalized
30463099,3094,う◌゙,ゔ
304b3099,304c,か◌゙,が
304d3099,304e,き◌゙,ぎ
304f3099,3050,く◌゙,ぐ
30513099,3052,け◌゙,ゲ
30533099,3054,こ◌゙,ご
30553099,3056,さ◌゙,ざ
30573099,3058,し◌゙,じ
30593099,305a,ず◌゙,ス
305b3099,305c,せ◌゙,ぜ
305d3099,305e,そ◌゙,ぞ
305f3099,3060,た◌゙,だ
30613099,3062,ち◌゙,ぢ
30643099,3065,つ◌゙,づ
30663099,3067,て◌゙,で
30683099,3069,と◌゙,ど
306f3099,3070,は◌゙,ば
306f309A,3071,は◌゚,ぱ
30723099,3073,ひ◌゙,び
3072309A,3074,ひ◌゚,ぴ
30753099,3076,ふ◌゙,ぶ
3075309A,3077,ふ◌゚,ぷ
30783099,3079,へ◌゙,べ
3078309A,307a,へ◌゚,ぺ
307b3099,307c,ほ◌゙,ぼ
307b309A,307d,ほ◌゚,ぽ
309d3099,309e,ゝ◌゙,ゞ
30a6,30f4,ウ◌゙,ヴ
30ab,30ac,カ◌゙,ガ
30ad,30ae,キ◌゙,ギ
30af,30b0,ク◌゙,グ
30b1,30b2,ケ◌゙,ゲ
30b3,30b4,コ◌゙,ゴ
30b5,30b6,サ◌゙,ザ
30b7,30b8,シ◌゙,ジ
30b9,30ba,ス◌゙,ズ
30bb,30bc,セ◌゙,ゼ
30bd,30be,ソ◌゙,ゾ
30bf,30c0,タ◌゙,ダ
30c1,30c2,チ◌゙,ヂ
30c4,30c5,ツ◌゙,ヅ
30c6,30c7,テ◌゙,デ
30c8,30c9,ト◌゙,ド
30cf,30d0,ハ◌゙,バ
30cf,30d1,ハ◌゚,パ
30d2,30d3,ヒ◌゙,ビ
30d2,30d4,ヒ◌゚,ピ
30d5,30d6,フ◌゙,ブ
30d5,30d7,フ◌゚,プ
30d8,30d9,ヘ◌゙,ベ
30d8,30da,ヘ◌゚,ペ
30db,30dc,ホ◌゙,ボ
30db,30dd,ホ◌゚,ポ
30ef,30f7,ワ◌゙,ヷ
30f0,30f8,ヰ◌゙,ヸ
30f1,30f9,ヱ◌゙,ヹ
30f2,30fa,ヲ◌゙,ヺ
30fd,30fe,ヽ◌゙,ヾ
