Source,ZenginKana
2C,2E,",",.
5B,28,[,(
5D,29,],)
7B,28,{,(
7D,29,},)
3014,28,〔,(
3015,29,〕,)
3000,20,　,
3001,2e,、,.
3002,2e,。,.
300c,ff62,「,｢
300d,ff63,」,｣
3099,ff9e,゙,ﾞ
309a,ff9f,゚,ﾟ
30a1,ff71,ァ,ｱ
30a2,ff71,ア,ｱ
30a3,ff72,ィ,ｲ
30a4,ff72,イ,ｲ
30a5,ff73,ゥ,ｳ
30a6,ff73,ウ,ｳ
30a7,ff74,ェ,ｴ
30a8,ff74,エ,ｴ
30a9,ff75,ォ,ｵ
30aa,ff75,オ,ｵ
30ab,ff76,カ,ｶ
30ac,ff76ff9e,ガ,ｶﾞ
30ad,ff77,キ,ｷ
30ae,ff77ff9e,ギ,ｷﾞ
30af,ff78,ク,ｸ
30b0,ff78ff9e,グ,ｸﾞ
30b1,ff79,ケ,ｹ
30b2,ff79ff9e,ゲ,ｹﾞ
30b3,ff7a,コ,ｺ
30b4,ff7aff9e,ゴ,ｺﾞ
30b5,ff7b,サ,ｻ
30b6,ff7bff9e,ザ,ｻﾞ
30b7,ff7c,シ,ｼ
30b8,ff7cff9e,ジ,ｼﾞ
30b9,ff7d,ス,ｽ
30ba,ff7dff9e,ズ,ｽﾞ
30bb,ff7e,セ,ｾ
30bc,ff7eff9e,ゼ,ｾﾞ
30bd,ff7f,ソ,ｿ
30be,ff7fff9e,ゾ,ｿﾞ
30bf,ff80,タ,ﾀ
30c0,ff80ff9e,ダ,ﾀﾞ
30c1,ff81,チ,ﾁ
30c2,ff81ff9e,ヂ,ﾁﾞ
30c3,ff82,ッ,ﾂ
30c4,ff82,ツ,ﾂ
30c5,ff82ff9e,ヅ,ﾂﾞ
30c6,ff83,テ,ﾃ
30c7,ff83ff9e,デ,ﾃﾞ
30c8,ff84,ト,ﾄ
30c9,ff84ff9e,ド,ﾄﾞ
30ca,ff85,ナ,ﾅ
30cb,ff86,ニ,ﾆ
30cc,ff87,ヌ,ﾇ
30cd,ff88,ネ,ﾈ
30ce,ff89,ノ,ﾉ
30cf,ff8a,ハ,ﾊ
30d0,ff8aff9e,バ,ﾊﾞ
30d1,ff8aff9f,パ,ﾊﾟ
30d2,ff8b,ヒ,ﾋ
30d3,ff8bff9e,ビ,ﾋﾞ
30d4,ff8bff9f,ピ,ﾋﾟ
30d5,ff8c,フ,ﾌ
30d6,ff8cff9e,ブ,ﾌﾞ
30d7,ff8cff9f,プ,ﾌﾟ
30d8,ff8d,ヘ,ﾍ
30d9,ff8dff9e,ベ,ﾍﾞ
30da,ff8dff9f,ペ,ﾍﾟ
30db,ff8e,ホ,ﾎ
30dc,ff8eff9e,ボ,ﾎﾞ
30dd,ff8eff9f,ポ,ﾎﾟ
30de,ff8f,マ,ﾏ
30df,ff90,ミ,ﾐ
30e0,ff91,ム,ﾑ
30e1,ff92,メ,ﾒ
30e2,ff93,モ,ﾓ
30e3,ff94,ャ,ﾔ
30e4,ff94,ヤ,ﾔ
30e5,ff95,ュ,ﾕ
30e6,ff95,ユ,ﾕ
30e7,ff96,ョ,ﾖ
30e8,ff96,ヨ,ﾖ
30e9,ff97,ラ,ﾗ
30ea,ff98,リ,ﾘ
30eb,ff99,ル,ﾙ
30ec,ff9a,レ,ﾚ
30ed,ff9b,ロ,ﾛ
30ef,ff9c,ワ,ﾜ
30f2,ff75,ヲ,ｵ
30f3,ff9d,ン,ﾝ
30f4,ff73ff9e,ヴ,ｳﾞ
30f7,ff9cff9e,ヷ,ﾜﾞ
30fa,ff75ff9e,ヺ,ｵﾞ
30fb,2e,・,.
30fc,2d,ー,-
ff08,28,（,(
ff09,29,）,)
ff0c,2e,，,.
ff0d,2d,－,-
ff0e,2e,．,.
ff0f,2f,／,/
ff10,30,０,0
ff11,31,１,1
ff12,32,２,2
ff13,33,３,3
ff14,34,４,4
ff15,35,５,5
ff16,36,６,6
ff17,37,７,7
ff18,38,８,8
ff19,39,９,9
ff21,41,Ａ,A
ff22,42,Ｂ,B
ff23,43,Ｃ,C
ff24,44,Ｄ,D
ff25,45,Ｅ,E
ff26,46,Ｆ,F
ff27,47,Ｇ,G
ff28,48,Ｈ,H
ff29,49,Ｉ,I
ff2a,4a,Ｊ,J
ff2b,4b,Ｋ,K
ff2c,4c,Ｌ,L
ff2d,4d,Ｍ,M
ff2e,4e,Ｎ,N
ff2f,4f,Ｏ,O
ff30,50,Ｐ,P
ff31,51,Ｑ,Q
ff32,52,Ｒ,R
ff33,53,Ｓ,S
ff34,54,Ｔ,T
ff35,55,Ｕ,U
ff36,56,Ｖ,V
ff37,57,Ｗ,W
ff38,58,Ｘ,X
ff39,59,Ｙ,Y
ff3a,5a,Ｚ,Z
ff3b,28,［,(
ff3c,5c,＼,\
ff3d,29,］,)
ff41,41,ａ,A
ff42,42,ｂ,B
ff43,43,ｃ,C
ff44,44,ｄ,D
ff45,45,ｅ,E
ff46,46,ｆ,F
ff47,47,ｇ,G
ff48,48,ｈ,H
ff49,49,ｉ,I
ff4a,4a,ｊ,J
ff4b,4b,ｋ,K
ff4c,4c,ｌ,L
ff4d,4d,ｍ,M
ff4e,4e,ｎ,N
ff4f,4f,ｏ,O
ff50,50,ｐ,P
ff51,51,ｑ,Q
ff52,52,ｒ,R
ff53,53,ｓ,S
ff54,54,ｔ,T
ff55,55,ｕ,U
ff56,56,ｖ,V
ff57,57,ｗ,W
ff58,58,ｘ,X
ff59,59,ｙ,Y
ff5a,5a,ｚ,Z
ff5b,28,｛,(
ff5d,29,｝,)
ffe5,5c,￥,\
